NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M),TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA,public and non-profit,investment entities,support programs,advisory and service provider
WaterView,Services for the collection and analysis of Big Data in meteorological field,Europe,Italy,Turin,45.0687328,7.6777817,1.66,primary production;isensing & robotics;farming;weather forecasting;sustainable development goals;space tech;esa;esa sme;space downstream;space tech to agriculture and food;flood management,food;energy,water;agritech,early growth,Club degli Investitori;European Innovation Council;Progress Tech Transfer Fund;MITO Technology;LIFTT;Cariplo Factory,"investment entities,investment entities;public and non-profit;investment entities;investment entities;investment entities;support programs",Turin,1,3,1,0
LIVIN farms,Developing an insect farming factory that can turn organic by-products into insects and those into animal feed or human food ,Europe,Austria,Vienna,48.1793721,16.4300216,7.77,food processing;sustainable development goals;alternative protein;insect;eicfund;climate tech,food;energy,waste solution;agritech;innovative food,early growth,Hax;SOSV;European Innovation Council;Agro Innovation Lab;K-Startup Grand Challenge;Hax Accelerator;EIC Fund (European Innovation Council Fund);Peter Luerssen,"investment entities,investment entities;investment entities;public and non-profit;support programs;support programs;support programs;investment entities;investment entities",Vienna,1,3,3,0
Crystalsol,Technological company that focusses on developing a new type of flexible photovoltaic technology,Europe,Austria,Vienna,48.181527,16.4066984,14.42,solar energy;eic;sustainable development goals;climate tech,energy;semiconductors,clean energy,early growth,European Innovation Council;Conor Venture Partners;Arax Capital Partners;Norwegian Venture Capital;Energy Future Invest;TalTech – Tallinn University of Technology,"public and non-profit;investment entities;investment entities;investment entities,investment entities;investment entities;public and non-profit",Vienna,2,3,0,0
EcoBean,"A project powered by coffee  turning waste left over from daily cup of coffee, that would otherwise end up in the landfill, into clean energy products",Europe,Poland,Warsaw,52.2202346,21.0120695,1.91,coffee;sustainable development goals;climate tech;waste reduction;circular economy;recycling,food;energy,clean energy;agritech;waste solution,early growth,COBIN Angels;EIT InnoEnergy;Cofounder Zone;Ciech Ventures,"investment entities,investment entities;investment entities;investment entities;investment entities",Warsaw,0,3,0,0
Greenlyte Carbon Technologies,Developers of an air capture technology that turns ambient air into green hydro-carbons to eliminate fossil fuels,Europe,Germany,Ruhr,51.4346836,7.002773,3.18,,energy,clean energy,early growth,Earlybird Venture Capital;Green Generation Fund;Carbon Removal Partners,investment entities;investment entities;investment entities,Dusseldorf,0,3,0,0
Drekan,"Design, installation and operation of energy production and distribution infrastructures",Europe,France,Bourges,47.026061,3.084453,4,,energy,clean energy,early growth,CAP3Ri;Turenne Capital;Nord Capital Partenaires,investment entities;investment entities;investment entities,Lyon,0,3,0,0
Oktogrid,Upgrading and digitalizing existing grid assets with non-invasive condition-monitoring,Europe,Denmark,Copenhagen,55.7834939,12.5135242,3,industrial technology,energy,energy efficiency,early growth,Mist Ventures;Elewit;Rockstart;EMD International A/S;Red Electrica - GRID2030;ABB Group,investment entities;support programs;support programs;investment entities;support programs;investment entities,Copenhagen,0,3,3,0
Nordic Power Convertors,Nordic Power Converters has developed a power converter that is five times smaller and lighter and has 2-5 times longer lifetime,Europe,Denmark,Copenhagen,55.722386,12.421753,4.01,,energy;semiconductors,clean energy,early growth,Seed Capital Denmark;PreSeed Ventures;Pre seed innovation,investment entities;investment entities;investment entities,Copenhagen,0,3,0,0
EPowerlabs,Offers engineering & product development services to develop electric mobility applications swiftly,Europe,Spain,Donostia-San Sebastian,43.29523,-1.98051,2.98,,energy;transportation,mobility,early growth,Easo Ventures;BIC Gipuzkoa;BIND 4.0 - Basque Open Innovation Platform;ADEGI;Diputación Foral de Gipuzkoa;Basque Government;Lazpiur;Gestión Capital Riesgo Euskadi;B Accelerator Tower (BAT),investment entities;support programs;support programs;public and non-profit;public and non-profit;public and non-profit;investment entities;investment entities;support programs,Bilbao,3,3,3,0
RIFT,"Renewable Iron Fuel Technology, aims to transform energy-intensive sectors into users of clean energy by developing and commercializing iron fuel",Europe,Netherlands,Eindhoven,51.4496613,5.4949697,2,,energy,oil & gas;energy storage;clean energy,early growth,Rubio Impact Ventures;Eindhoven University of Technology (TU/e);Metalot - Future Energy Lab;Energietransitiefonds Rotterdam,investment entities;public and non-profit;investment entities;investment entities,Eindhoven,1,3,0,0
BeDimensional,"Dealing with the development of new materials for the manufacturing industry through the introduction of two-dimensional crystals, including graphene",Europe,Italy,Genoa,44.46873,8.8961,28,advanced materials;graphene,real estate;energy,construction;clean energy,early growth,Pellan Group;CDP Venture Capital;Nova Capital;Eni Next,"investment entities;investment entities;investment entities;investment entities,investment entities",Milan,0,3,0,0
Aluwave,Aluwave AB is an innovative Swedish company that designs and delivers customized lighting solutions to customers in the lighting industry or other industry sectors,Europe,Sweden,Gothenburg,57.6564918,12.0153085,1.1,modular,energy;semiconductors,energy efficiency,early growth,Almi Invest;K-Svets Venture;Chalmers Ventures,investment entities;investment entities;investment entities,Gothenburg,0,3,0,0
Griffin Refineries,Finnish circular economy company with the objective of producing value from waste,Europe,Finland,Helsinki,60.1681645,24.94297477,1,natural resources;plastic,energy,waste solution,early growth,Lifeline Ventures;Wate Oy;Finow Oy,investment entities;investment entities;investment entities,Helsinki,0,3,0,0
EGG Electronics,Making the daily experience of charging electrical devices and gadgets a lot easier and more natural,Europe,Portugal,Lisbon,38.7077507,-9.1365919,1,consumer electronics;charging technology,energy;home living,energy efficiency,seed,Portugal Ventures;Ganexa capital;EDP Ventures;Best Horizon,"investment entities;investment entities;investment entities,investment entities;investment entities",Lisbon,0,3,0,0
Pionierkraft,"Energy company aimed and motivated to develop a sustainable solution that increases the amount of energy consumed on site, gives more people access to affordable, renewable energy and, with the owners of photovoltaic systems, economically and legally",Europe,Germany,Munich,48.1731643,11.5331673,0.91,,energy,clean energy,early growth,Münchner Technologiezentrum (MTZ);LMU Entrepreneurship Center;EIT InnoEnergy;Strascheg Center for Entrepreneurship;Translo;VMC,support programs;support programs;investment entities;support programs;investment entities;investment entities,Munich,0,3,3,0
Neosens,Neosens develops sensor solutions and technologies to monitor and control water and industrial liquids,Europe,France,Paris,48.817049,2.515556,7.32,,energy,water;energy efficiency,early growth,Galia Gestion;Sofinnova Partners;Capricorn Partners;IRDI-ICSO,"investment entities,investment entities;investment entities;investment entities;investment entities",Paris,0,3,0,0
Solarize,"Provides SaaS for energy production, distribution and billing for commercial microgrids",Europe,Germany,Stuttgart,48.7706649,9.16585938,6.3,,energy,clean energy,early growth,Picus Capital;Millennium Venture Capital;Point Nine,investment entities;investment entities;investment entities,Stuttgart,0,3,0,0
SOLATOM,"Develops solar boilers for the generation of heat in the form of steam, pressurized hot water and thermal oil for industrial applications",Europe,Spain,Valencia,39.4614612,-0.3298913,1.69,,energy,oil & gas;water;clean energy,seed,Katapult;Ship2B Foundation;Enagás Emprende;EIT Climate-KIC;Lanzadera;BP Ventures,support programs;investment entities;investment entities;support programs;support programs;investment entities,Valencia,0,3,3,0
Leap24,Facilitates a charging network for electric vans and trucks,Europe,Netherlands,Amersfoort,52.1981869,5.3954859,19.25,climate tech;sustainable development goals;ev charging hardware;ev charging;electric mobility,energy;transportation,energy storage;clean energy,early growth,Yard Energy;Rotterdam Mobility Lab;Meewind,investment entities;support programs;investment entities,Utrecht,0,2,1,0
ANTECY,A process for production of fuels and chemicals out of ambient co2 and renewable energy,Europe,Netherlands,Amersfoort,52.177116,5.467554,2,solar energy;climate tech;sustainable development goals;oil & gas;carbon capture and storage;carbon utilisation,energy,clean energy;waste solution;oil & gas,seed,Generation-E;EIT InnoEnergy,investment entities;investment entities,Utrecht,0,2,0,0
Powerfield,"Develop, build and manage solar parks, charging stations and storage systems",Europe,Netherlands,Amsterdam,52.4983267,4.8123847,250,energy infrastructure project,energy,energy providers,early growth,EIG Global Energy Partners(EIG);Landesbank Baden Württemberg,investment entities;investment entities,Amsterdam,0,2,0,0
Ogre AI,An automated B2B platform which uses machine learning to offer financial and operational decision-making support to energy and utilities companies,Europe,Netherlands,Amsterdam,52.396766,4.877866,2,business management;utilities;sustainable development goals;solar energy;business intelligence;climate tech;business analytics;wind energy,energy;enterprise software,water;clean energy;energy providers;energy efficiency,seed,Early Game Ventures;MMC Ventures,investment entities;investment entities,Amsterdam,0,2,0,0
ETPA,Offering an independent trading platform with an open order book for continuous short term electricity trading,Europe,Netherlands,Amsterdam,52.36994,4.90788,5,sustainable development goals;climate tech;energy trading;smart grid,energy,energy efficiency,early growth,ABN AMRO Ventures;SET Ventures,investment entities;investment entities,Amsterdam,0,2,0,0
